MSED2 Setting 1-3,SED2 Setting 1-3,AES Setting 1-3,MSED2 Setting 1-4,SED2 Setting 1-4,AES Setting 1-4
,,,,,
5050,5150,5210,26500,27000,35000
,,,,,
5030,5130,5210,27100,27700,35500
,,,,,
5030,5130,5210,26900,27500,37000
,,,,,
5030,5130,5210,26800,27300,35000
,,,,,
5030,5130,5210,26700,27300,34800
,,,,,
5030,5130,5210,26800,27300,35200
,,,,,
5030,5130,5210,26750,27350,35600
,,,,,
5030,5130,5210,26870,27370,34800
,,,,,
5090,5190,5210,26870,27370,35000
,,,,,
5080,5180,5210,26900,27400,35100