MSED2 Setting 1-5,,MSED2 Setting 1-6,,IDCON Settings 2-5,EDCon Setting 2-5,IDCON Settings 2-6,EDCon Setting 2-6
,,,,,,,
149500,,283000,,170000,180000,291000,301000
,,,,,,,
148400,,283000,,169000,190000,290500,300500
,,,,,,,
149200,,283000,,170000,200000,290000,300000
,,,,,,,
149300,,283000,,170000,190000,288500,298500
,,,,,,,
149400,,282500,,170000,180000,289000,299000
,,,,,,,
148100,,283300,,169000,190000,290500,300500
,,,,,,,
148100,,282500,,171000,200000,290500,300500
,,,,,,,
148000,,282500,,169000,190000,290500,300500
,,,,,,,
148200,,282500,,169000,185000,290500,300500
,,,,,,,
148200,,282000,,169000,180000,289500,299500